country,country_clean,region,is_developed,year,month,quarter,date,period,season,year_category,energy_source,energy_source_clean,source_category,energy_type,electricity_production_gwh,share_of_total,is_renewable,is_fossil,energy_intensity_category,is_outlier,is_negative,is_zero
Argentina,Argentina,South America,False,2017,1,1,2017-01-01,2015-2017,Winter,Mid 2010s,Total combustible fuels,Total Combustible Fuels,Fossil Fuel,Conventional,100155.943,0.7240511294614871,False,True,Very High,False,False,False
Argentina,Argentina,South America,False,2017,1,1,2017-01-01,2015-2017,Winter,Mid 2010s,Wind,Wind,Renewable,Clean Energy,607.149,0.0044159325795252,True,False,Low,False,False,False
Argentina,Argentina,South America,False,2018,1,1,2018-01-01,2015-2017,Winter,Mid 2010s,Coal,Coal,Fossil Fuel,Conventional,2142.467773,0.0146776086389384,False,True,Medium,False,False,False
Argentina,Argentina,South America,False,2018,1,1,2018-01-01,2015-2017,Winter,Mid 2010s,Geothermal,Geothermal,Renewable,Clean Energy,0.0,0.0,True,False,Low,False,False,True
Argentina,Argentina,South America,False,2018,1,1,2018-01-01,2015-2017,Winter,Mid 2010s,Hydro,Hydro,Renewable,Clean Energy,31865.777588,0.2305713358375884,True,False,High,False,False,False
Argentina,Argentina,South America,False,2018,1,1,2018-01-01,2015-2017,Winter,Mid 2010s,Natural gas,Natural Gas,Fossil Fuel,Conventional,89487.455332,0.6443322978205037,False,True,High,False,False,False
Argentina,Argentina,South America,False,2018,1,1,2018-01-01,2015-2017,Winter,Mid 2010s,Net electricity production,Net Electricity Production,Other,Other,139188.116903,1.0,False,False,Very High,False,False,False
Argentina,Argentina,South America,False,2018,1,1,2018-01-01,2015-2017,Winter,Mid 2010s,Nuclear,Nuclear,Nuclear,Clean Energy,6514.307078,0.0462309928095751,False,False,Medium,False,False,False
Argentina,Argentina,South America,False,2018,1,1,2018-01-01,2015-2017,Winter,Mid 2010s,Oil,Oil,Fossil Fuel,Conventional,6391.667159,0.0436098559754698,False,True,Medium,False,False,False
Argentina,Argentina,South America,False,2018,1,1,2018-01-01,2015-2017,Winter,Mid 2010s,Solar,Solar,Renewable,Clean Energy,107.512407,0.0008282786071579,True,False,Low,False,False,False
Argentina,Argentina,South America,False,2018,1,1,2018-01-01,2015-2017,Winter,Mid 2010s,Total combustible fuels,Total Combustible Fuels,Fossil Fuel,Conventional,99297.98336,0.7118716954551713,False,True,High,False,False,False
Argentina,Argentina,South America,False,2018,1,1,2018-01-01,2015-2017,Winter,Mid 2010s,Wind,Wind,Renewable,Clean Energy,1402.536471,0.0104976972994432,True,False,Medium,False,False,False
Argentina,Argentina,South America,False,2019,1,1,2019-01-01,2018-2022,Winter,Mid 2010s,Coal,Coal,Fossil Fuel,Conventional,1184.78164,0.0087047839101552,False,True,Medium,False,False,False
Argentina,Argentina,South America,False,2019,1,1,2019-01-01,2018-2022,Winter,Mid 2010s,Geothermal,Geothermal,Renewable,Clean Energy,0.0,0.0,True,False,Low,False,False,True
Argentina,Argentina,South America,False,2019,1,1,2019-01-01,2018-2022,Winter,Mid 2010s,Hydro,Hydro,Renewable,Clean Energy,27234.432719,0.2054916847094231,True,False,High,False,False,False
Argentina,Argentina,South America,False,2019,1,1,2019-01-01,2018-2022,Winter,Mid 2010s,Natural gas,Natural Gas,Fossil Fuel,Conventional,85543.96492,0.6466451327202458,False,True,High,False,False,False
Argentina,Argentina,South America,False,2019,1,1,2019-01-01,2018-2022,Winter,Mid 2010s,Net electricity production,Net Electricity Production,Other,Other,132462.31304,1.0,False,False,Very High,False,False,False
Argentina,Argentina,South America,False,2019,1,1,2019-01-01,2018-2022,Winter,Mid 2010s,Nuclear,Nuclear,Nuclear,Clean Energy,7969.468523,0.0602924993229827,False,False,Medium,False,False,False
Argentina,Argentina,South America,False,2019,1,1,2019-01-01,2018-2022,Winter,Mid 2010s,Oil,Oil,Fossil Fuel,Conventional,3240.016438,0.0240561245160121,False,True,Medium,False,False,False
Argentina,Argentina,South America,False,2019,1,1,2019-01-01,2018-2022,Winter,Mid 2010s,Solar,Solar,Renewable,Clean Energy,791.843581,0.0059428748008734,True,False,Low,False,False,False
Argentina,Argentina,South America,False,2019,1,1,2019-01-01,2018-2022,Winter,Mid 2010s,Total combustible fuels,Total Combustible Fuels,Fossil Fuel,Conventional,91519.67088,0.691084639130699,False,True,High,False,False,False
Argentina,Argentina,South America,False,2019,1,1,2019-01-01,2018-2022,Winter,Mid 2010s,Wind,Wind,Renewable,Clean Energy,4946.89734,0.0371883020585459,True,False,Medium,False,False,False
Argentina,Argentina,South America,False,2020,1,1,2020-01-01,2018-2022,Winter,Mid 2010s,Coal,Coal,Fossil Fuel,Conventional,1854.850298,0.0128405199360356,False,True,Medium,False,False,False
Argentina,Argentina,South America,False,2020,1,1,2020-01-01,2018-2022,Winter,Mid 2010s,Geothermal,Geothermal,Renewable,Clean Energy,0.0,0.0,True,False,Low,False,False,True
Argentina,Argentina,South America,False,2020,1,1,2020-01-01,2018-2022,Winter,Mid 2010s,Hydro,Hydro,Renewable,Clean Energy,23613.863132,0.1709232126869268,True,False,High,False,False,False
Argentina,Argentina,South America,False,2020,1,1,2020-01-01,2018-2022,Winter,Mid 2010s,Natural gas,Natural Gas,Fossil Fuel,Conventional,82946.547519,0.6054668361899834,False,True,High,False,False,False
Argentina,Argentina,South America,False,2020,1,1,2020-01-01,2018-2022,Winter,Mid 2010s,Net electricity production,Net Electricity Production,Other,Other,137574.62146,1.0,False,False,Very High,False,False,False
Argentina,Argentina,South America,False,2020,1,1,2020-01-01,2018-2022,Winter,Mid 2010s,Nuclear,Nuclear,Nuclear,Clean Energy,10064.414559,0.0742235875098032,False,False,High,False,False,False
Argentina,Argentina,South America,False,2020,1,1,2020-01-01,2018-2022,Winter,Mid 2010s,Oil,Oil,Fossil Fuel,Conventional,6316.7652180000005,0.0434852695354101,False,True,Medium,False,False,False
Argentina,Argentina,South America,False,2020,1,1,2020-01-01,2018-2022,Winter,Mid 2010s,Solar,Solar,Renewable,Clean Energy,1331.154,0.0096278533642372,True,False,Medium,False,False,False
Argentina,Argentina,South America,False,2020,1,1,2020-01-01,2018-2022,Winter,Mid 2010s,Total combustible fuels,Total Combustible Fuels,Fossil Fuel,Conventional,93246.980101,0.6772794908495028,False,True,High,False,False,False
Argentina,Argentina,South America,False,2020,1,1,2020-01-01,2018-2022,Winter,Mid 2010s,Wind,Wind,Renewable,Clean Energy,9318.209669,0.0679458555981345,True,False,Medium,False,False,False
Argentina,Argentina,South America,False,2021,1,1,2021-01-01,2018-2022,Winter,Late 2010s,Coal,Coal,Fossil Fuel,Conventional,3309.960795,0.0217946592633387,False,True,Medium,False,False,False
Argentina,Argentina,South America,False,2021,1,1,2021-01-01,2018-2022,Winter,Late 2010s,Geothermal,Geothermal,Renewable,Clean Energy,0.0,0.0,True,False,Low,False,False,True
Argentina,Argentina,South America,False,2021,1,1,2021-01-01,2018-2022,Winter,Late 2010s,Hydro,Hydro,Renewable,Clean Energy,24290.748118,0.1617495566651982,True,False,High,False,False,False
